"url,""Image"",""Name_surname"",""Details"",""ID"",""Degree"",""Date"",""Structure"",""More_details"",""More_details_link""";;;;;;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=18203&image=mini"",""Gerardus 't Hooft"",""Gerardus 't Hooft"",""Fascicolo N.: 170"; Laurea conferita: Fisica; Data laurea: 10/10/1998; Struttura proponente: Scienze Matematiche, Fisiche e Naturali;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=18203""";;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112784&image=mini"",""Saverio Abbondanza"",""Saverio Abbondanza"",""Fascicolo N.: 4497"; Laurea conferita: Medicina e Chirurgia; Data laurea: 09/01/1918; Struttura proponente: Medicina e Chirurgia;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112784""";;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112715&image=mini"",""Savio Acuto"",""Savio Acuto"",""Fascicolo N.: 7106"; Laurea conferita: Lettere e Filosofia; Data laurea: 05/11/1941; Struttura proponente: Lettere e Filosofia;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112715""";;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=111250&image=mini"",""Gerald Edward Adams"",""Gerald Edward Adams"",""Laurea conferita: Chimica e tecnologia farmaceutiche"; Data laurea: 27/05/1982; Struttura proponente: Farmacia;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=111250""";;;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=131143&image=mini"",""Hunter Patch Adams"",""Hunter Patch Adams"",""Fascicolo N.: 285"; Laurea conferita: Pedagogia; Data laurea: 20/04/2007; Struttura proponente: Scienze della Formazione;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=131143""";;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112373&image=mini"",""John Couch Adams"",""John Couch Adams"",""Laurea conferita: Astronomia"; Data laurea: 13/06/1888; Struttura proponente: Scienze Matematiche, Fisiche e Naturali;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112373""";;;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112675&image=mini"",""Italo Adanti"",""Italo Adanti"",""Fascicolo N.: 1033"; Laurea conferita: Ingegneria; Data laurea: 09/01/1918; Struttura proponente: Ingegneria - R. Scuola d'Apllicazione per gli Ingegneri;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112675""";;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=131144&image=mini"",""Howard Bernhardt Adelmann"",""Howard Bernhardt Adelmann"",""Laurea conferita: Medicina e Chirurgia"; Data laurea: 28/06/1972; Struttura proponente: Medicina e Chirurgia;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=131144""";;;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112789&image=mini"",""Edgar Douglas Adrian"",""Edgar Douglas Adrian"",""Laurea conferita: Medicina e Chirurgia"; Data laurea: 22/05/1957; Struttura proponente: Medicina e Chirurgia;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112789""";;;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112374&image=mini"",""Alexander Agassiz"",""Alexander Agassiz"",""Laurea conferita: Scienze"; Data laurea: 13/06/1888; Struttura proponente: Scienze Matematiche, Fisiche e Naturali;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112374""";;;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112511&image=mini"",""Giuseppe Agostini"",""Giuseppe Agostini"",""Laurea conferita: Economia e Commercio"; Data laurea: 05/11/1942; Struttura proponente: Economia e Commercio;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112511""";;;
